motVedette;nbSyll;origin;sampa;ipa
abstain;2;ăbſtaiʹn;@ b s t eI n;əbst?n
abstinence;3;ăʹbſtĭnĕnce;{ b s t @ n @ n s;æbstənəns
abstract;2;ăbſtrăʹct;{ b s t r\ { k t;æbstɹækt
abstruse;2;ăbſtrūʹſe;@ b s t r\ u s;əbstɹus
absurd;2;ăbſŭʹrd;@ b s 3:r d;əbsɜ:rd
abundance;3;abŭʹndănce;@ b V n d @ n s;əbʌndəns
abuse;2;abūʹſe;@ b j u s;əbjus
abyss;2;ăbyʹſs;@ b I s;əbɪs
academy;4;ăcăʹdĕmy;@ k { 4 @ m i:;əkæɾəmiː
accede;2;ăccēʹde;{ k s i: d;æksiːd
accelerate;4;ăccĕʹlĕrāte;{ k s E l 3:r eI t;æksɛlɜ:r?t
accent;2;ăcʹcĕnt;@ k s E n t;əksɛnt
accept;2;ăccĕʹpt;{ k s E p t;æksɛpt
acceptable;4;ăccĕʹptable;{ k s E p t @ b @ l;æksɛptəbəl
access;2;ăccĕʹſs;{ k s E s;æksɛs
accessible;4;ăccĕʹſſĭble;{ k s E s @ b @ l;æksɛsəbəl
accession;4;ăccĕʹſſion;@ k s E S @ n;əksɛʃən
accident;3;ăʹccĭdent;{ k s @ d @ n t;æksədənt
accommodate;4;ăccŏʹmmodāte;@ k A m @ d eI t;əkɑməd?t
accompany;4;ăccŏʹmpăny;@ k V m p @ n i:;əkʌmpəniː
accomplish;3;ăccŏʹmpliſh;@ k A m p l i S;əkɑmpliʃ
accomplished;4;ăccŏʹmplĭſhed;@ k A m p l i S t;əkɑmpliʃt
accomplice;3;ăccŏʹmplice;@ k A m p l @ s;əkɑmpləs
accord;2;ăccoʹrd;@ k O: r\ d;əkOːɹd
accost;2;ăccŏʹſt;@ k O: s t;əkOːst
accumulate;4;ăccuʹmūlăte;@ k j u m j @ l eI t;əkjumjəl?t
accuracy;4;ăʹccūracy;{ k j 3:r @ s i:;ækjɜ:rəsiː
accursed;3;ăccŭʹrſed;@ k 3:r s t;əkɜ:rst
accuse;2;ăccūʹſe;@ k j u z;əkjuz
accusation;5;ăccūſāʹtion;{ k j @ z eI S @ n;ækjəz?ʃən
accusative;4;ăccūʹſātive;@ k j u z @ 4 i v;əkjuzəɾiv
accustom;3;ăccŭʹſtom;@ k V s t @ m;əkʌstəm
ache;1;āc_he_;eI k;?k
acid;2;ăʹcid;{ s @ d;æsəd
acids;2;ăʹcids;{ s @ d z;æsədz
acknowledgment;4;ăc_k_nŏ_w_lĕdgment;{ k n A l i dZ m @ n t;æknɑli?mənt
acorn;2;ăʹcorn;eI k O: r\ n;?kOːɹn
acquaint;2;ăcquaiʹnt;@ k w eI n t;əkw?nt
acquaintance;3;ăcquaĭʹntănce;@ k w eI n t @ n s;əkw?ntəns
acquiesce;3;acquĭe˘ʹſ_c__e_;{ k w i: E s;ækwiːɛs
acquire;2;ăcquīʹre;@ k w aI 3:r;əkw?ɜ:r
acquisition;5;ăcquĭſĭʹtion;{ k w @ z I S @ n;ækwəzɪʃən
acquit;2;ăcquĭʹt;@ k w I t;əkwɪt
acquittal;3;ăcquĭʹttal;@ k w I 4 @ l;əkwɪɾəl
acre;2;āʹcre;eI k 3:r;?kɜ:r
acrimony;4;ăʹcrĭmony;{ k r\ i m @U n i:;ækɹimoʊniː
act;1;ăct;{ k t;ækt
action;3;ăʹction;{ k S @ n;ækʃən
actionable;5;ăʹctionable;{ k S @ n @ b @ l;ækʃənəbəl
active;2;ăʹctĭve;{ k t i v;æktiv
activity;4;ăctĭʹvĭty;{ k t I v @ 4 i:;æktɪvəɾiː
actor;2;ăʹctor;{ k t 3:r;æktɜ:r
actress;2;ăʹctrĕſs;{ k t r\ @ s;æktɹəs
actual;3;ăʹctūal;{ k tS @ w @ l;æk?əwəl
actuary;4;ăʹctūāry;{ k tS @ w E r\ i:;æk?əwɛɹiː
actuate;3;ăʹctūāte;{ k tS u w eI t;æk?uw?t
acute;2;acūʹte;@ k j u t;əkjut
adage;2;āʹdāge;{ 4 @ dZ;æɾə?
adagio;4;adāʹgĭo;@ d A Z i: @U;ədɑʒiːoʊ
adamant;3;ăʹdămant;{ 4 @ m @ n t;æɾəmənt
adapt;2;adăʹpt;@ d { p t;ədæpt
adapted;3;adăʹpted;@ d { p t @ d;ədæptəd
adar;2;āʹdar;@ d A r\;ədɑɹ
add;1;ădd;{ d;æd
adder;2;ăʹdder;{ 4 3:r;æɾɜ:r
addict;2;ăddĭʹct;@ d I k t;ədɪkt
addition;4;ăddĭʹtion;@ d I S @ n;ədɪʃən
additional;5;ăddĭʹtional;@ d I S @ n @ l;ədɪʃənəl
addle;2;ăʹddle;{ 4 @ l;æɾəl
address;2;ăddrĕʹſs;{ d r\ E s;ædɹɛs
adequate;3;ăʹdĕquāte;{ 4 @ k w @ t;æɾəkwət
adhere;2;ădhēre;@ d h I r\;ədhɪɹ
adherence;3;ădhēʹrĕnce;@ d h I r\ @ n s;ədhɪɹəns
adherent;3;ădhēʹrent;@ d h I r\ @ n t;ədhɪɹənt
adjacent;3;ădjāʹcent;@ dZ eI s @ n t;ə??sənt
adjective;3;ăʹdjĕctive;{ dZ i k t i v;æ?iktiv
adieu;2;adĭeuʹ;@ d u;ədu
adjoin;2;ădjoiʹn;@ dZ OI n;ə??n
adjournment;3;ădj_o_ŭʹrnment;@ dZ 3:r n m @ n t;ə?ɜ:rnmənt
adjudge;2;ădjŭʹdge;@ dZ V dZ;ə?ʌ?
adjudication;6;ădjūdĭcāʹtion;@ dZ u 4 @ k eI S @ n;ə?uɾək?ʃən
adjunct;2;ăʹdjŭnct;{ dZ V N k t;æ?ʌŋkt
adjust;2;ădjŭʹſt;@ dZ V s t;ə?ʌst
adjutant;3;ăʹdjūtant;{ dZ @ t @ n t;æ?ətənt
administer;4;ădmĭʹnĭſt_e_r;@ d m I n @ s t 3:r;ədmɪnəstɜ:r
administration;6;ădmĭnĭſtrātion;{ d m I n i s t r\ eI S @ n;ædmɪnistɹ?ʃən
administrator;5;ădmĭnĭſtrāʹtor;@ d m I n @ s t r\ eI 4 3:r;ədmɪnəstɹ?ɾɜ:r
admiral;3;ăʹdmĭrăl;{ d m 3:r @ l;ædmɜ:rəl
admiralty;4;ăʹdmĭrălty;{ d m 3:r @ l t i:;ædmɜ:rəltiː
admiration;5;ădmĭrāʹtion;{ d m 3:r eI S @ n;ædmɜ:r?ʃən
admire;2;ădmīʹre;{ d m aI r\;ædm?ɹ
admittance;3;ădmĭʹttănce;@ d m I t @ n s;ədmɪtəns
admit;2;ădmĭʹt;@ d m I t;ədmɪt
admonish;3;ădmŏʹnĭſh;{ d m A n i S;ædmɑniʃ
admonition;5;ădmŏnĭʹtion;{ d m @ n I S @ n;ædmənɪʃən
adolescence;4;ădŏlĕʹſcĕnce;{ 4 @ l E s @ n s;æɾəlɛsəns
adoption;4;ădŏʹption;@ d A p S @ n;ədɑpʃən
adorable;4;ădōʹrable;@ d O: r\ @ b @ l;ədOːɹəbəl
adore;2;ădōʹre;@ d O: r\;ədOːɹ
adorn;2;ădŏʹrn;@ d O: r\ n;ədOːɹn
adroit;2;ădroiʹt;@ d r\ OI t;ədɹ?t
advance;2;ădvăʹnce;@ d v { n s;ədvæns
advancement;3;ădvăʹnc_e_ment;@ d v { n s m @ n t;ədvænsmənt
advantage;3;ădvăʹntage;{ d v { n t i dZ;ædvænti?
advent;2;ăʹdvĕnt;{ d v E n t;ædvɛnt
adventure;3;ădvĕʹntŭre;{ d v E n tS 3:r;ædvɛn?ɜ:r
adventurous;4;ădvĕʹntŭr_o_us;{ d v E n tS 3:r @ s;ædvɛn?ɜ:rəs
adverb;2;ăʹdverb;{ d v 3:r b;ædvɜ:rb
adversary;4;ăʹdvĕrſăry;{ d v 3:r s E r\ i:;ædvɜ:rsɛɹiː
adverse;2;ăʹdvĕrſe;{ d v 3:r s;ædvɜ:rs
adversity;4;ădvĕʹrſity;{ d v 3:r s i 4 i:;ædvɜ:rsiɾiː
advertise;3;ădvĕrtĭʹſe;{ d v 3:r t aI z;ædvɜ:rt?z
advice;2;ădvīʹce;{ d v aI s;ædv?s
advise;2;ădvīʹſe;{ d v aI z;ædv?z
adulation;5;ădūlāʹtion;{ dZ @ l eI S @ n;æ?əl?ʃən
adult;2;adŭʹlt;@ d V l t;ədʌlt
adulterate;4;adŭʹlte˘rāte;@ d V l t 3:r eI t;ədʌltɜ:r?t
adulterer;4;adŭʹlte˘rer;@ d V l t 3:r 3:r;ədʌltɜ:rɜ:r
adultery;4;adŭʹlte˘ry;@ d V l t 3:r i:;ədʌltɜ:riː
advocate;3;ăʹdvŏcāte;{ d v @ k @ t;ædvəkət
aerial;4;āe˘ʹrĭal;E r\ i: @ l;ɛɹiːəl
affair;2;ăffaiʹr;@ f E r\;əfɛɹ
affect;2;affe˘ʹct;@ f E k t;əfɛkt
affectation;5;ăffĕctāʹtion;{ f E k t eI S @ n;æfɛkt?ʃən
affected;3;ăffĕʹcted;@ f E k t @ d;əfɛktəd
affection;4;ăffĕʹction;@ f E k S @ n;əfɛkʃən
affectionate;5;ăffĕʹctionāte;@ f E k S @ n @ t;əfɛkʃənət
affidavit;4;ăffĭdāʹvit;{ f @ d eI v @ t;æfəd?vət
affinity;4;ăffĭʹnĭʹty;@ f I n @ 4 i:;əfɪnəɾiː
affirm;2;ăffĭrm;@ f 3:r m;əfɜ:rm
affirmation;5;ăffĭrmāʹtion;{ f 3:r m eI S @ n;æfɜ:rm?ʃən
affirmative;4;ăffĭʹrmătive;@ f 3:r m @ 4 i v;əfɜ:rməɾiv
affix;2;affĭʹx;{ f i k s;æfiks
afflict;2;ăfflĭʹct;@ f l I k t;əflɪkt
affliction;4;ăfflĭʹction;@ f l I k S @ n;əflɪkʃən
affluence;3;ăfflūĕnce;{ f l u @ n s;æfluəns
affluent;3;ăʹfflūĕnt;{ f l u @ n t;æfluənt
afford;2;ăffoʹrd;@ f O: r\ d;əfOːɹd
africa;3;ăʹfrĭcā;{ f r\ @ k @;æfɹəkə
affront;2;ăffrŏʹnt;@ f r\ V n t;əfɹʌnt
aft;1;ăft;{ f t;æft
after;2;ăʹft_e_r;{ f t 3:r;æftɜ:r
afternoon;3;ăfternooʹn;{ f t 3:r n u n;æftɜ:rnun
aga;2;āʹgā;A g @;ɑgə
agate;2;ăʹgate;{ g @ t;ægət
age;1;āge;eI dZ;??
agency;3;āʹge˘ncy;eI dZ @ n s i:;??ənsiː
agent;2;āʹgent;eI dZ @ n t;??ənt
agglomerate;4;ăgglŏʹmĕrāte;@ g l A m 3:r eI t;əglɑmɜ:r?t
agglutinate;4;ăgglūʹtĭnāte;@ g l u t i n eI t;əglutin?t
aggrandize;3;ăʹggrăndīze;@ g r\ { n d aI z;əgɹænd?z
aggravate;3;ăʹggrăvāte;{ g r\ @ v eI t;ægɹəv?t
aggravation;5;ăggrăvāʹtion;{ g r\ @ v eI S @ n;ægɹəv?ʃən
aggregate;3;ăʹggrĕgāte;{ g r\ @ g @ t;ægɹəgət
aggress;2;ăggrĕʹſs;@ g r\ E s;əgɹɛs
aggressor;3;ăggrĕʹſſor;@ g r\ E s 3:r;əgɹɛsɜ:r
aggrieve;2;ăggrieʹve;@ g r\ i: v;əgɹiːv
agile;2;ăʹgĭle;{ dZ @ l;æ?əl
agility;4;ăgĭʹlĭty;@ dZ I l @ 4 i:;ə?ɪləɾiː
agitate;3;ăʹgĭtāte;{ dZ @ t eI t;æ?ət?t
agitation;5;ăgĭtāʹtion;{ dZ @ t eI S @ n;æ?ət?ʃən
agitator;4;ăgĭtāʹtor;{ dZ @ t eI 4 3:r;æ?ət?ɾɜ:r
agony;3;ăʹgŏny;{ g @ n i:;ægəniː
agree;2;ăgreeʹ;@ g r\ i:;əgɹiː
agreeable;4;ăgreeʹable;@ g r\ i: @ b @ l;əgɹiːəbəl
agreement;3;ăgreeʹment;@ g r\ i: m @ n t;əgɹiːmənt
agriculture;4;ăʹgrĭcŭltŭre;{ g r\ i k V l tS 3:r;ægɹikʌl?ɜ:r
aid;1;aid;eI d;?d
ail;1;ail;eI l;?l
aim;1;aim;eI m;?m
air;1;air;E r\;ɛɹ
airy;2;aiʹry;E r\ i:;ɛɹiː
alabaster;4;ălăbăʹſt_e_r;{ l @ b { s t 3:r;æləbæstɜ:r
alacrity;4;alăʹcrĭty;@ l { k r\ @ 4 i:;əlækɹəɾiː
alarm;2;alăʹrm;@ l A r\ m;əlɑɹm
albion;3;ăʹlbĭon;{ l b i: @ n;ælbiːən
alcove;2;ăʹlcōve;{ l k @U v;ælkoʊv
alder;2;ăʹld_e_r;O: l d 3:r;Oːldɜ:r
alderman;3;ăʹldĕrmăn;O: l d 3:r m @ n;Oːldɜ:rmən
ale;1;āle;eI l;?l
alexandrine;4;alexăʹndrĭne;{ l @ g z { n d r\ i: n;æləgzændɹiːn
algebra;3;ăʹlgĕbrā;{ l dZ @ b r\ @;æl?əbɹə
algorithm;3;ăʹlgorĭthm;{ l g 3:r I D @ m;ælgɜ:rɪðəm
alias;3;ăʹlĭas;eI l i: @ s;?liːəs
alien;3;ăʹlĭen;eI l i: @ n;?liːən
alienate;4;ăʹlĭenāte;eI l j @ n eI t;?ljən?t
alienation;6;ălĭenāʹtion;eI l i: @ n eI S @ n;?liːən?ʃən
alimentary;5;ălĭmĕʹntary;{ l @ m E n t 3:r i:;æləmɛntɜ:riː
alimony;4;ăʹlĭmŏny;{ l @ m @U n i:;æləmoʊniː
alkahest;3;ăʹlkăhĕſt;{ l k @ h E s t;ælkəhɛst
allay;2;ăllaʹy;@ l eI;əl?
allegation;5;ăllēgāʹtion;{ l @ g eI S @ n;æləg?ʃən
allegiance;4;ăllĕʹgĭ_a_nce;@ l i: dZ @ n s;əliː?əns
allegorical;5;ăllēgŏʹrical;{ l @ g O: r\ @ k @ l;æləgOːɹəkəl
allegory;4;ăʹllĕgŏry;{ l @ g O: r\ i:;æləgOːɹiː
allegro;3;ăllēʹgro;@ l E g r\ @U;əlɛgɹoʊ
alleviate;4;ăllĕʹvĭāte;@ l i: v i: eI t;əliːviː?t
alley;2;ăʹlley;{ l i:;æliː
alliance;3;ăllīʹance;@ l aI @ n s;əl?əns
allies;2;ăllīʹ_e_s;{ l aI z;æl?z
alligator;4;ăllĭgāʹtor;{ l @ g eI 4 3:r;æləg?ɾɜ:r
allot;2;allŏʹt;@ l A t;əlɑt
allow;2;allȯẇ;@ l aU;əl?
allowance;3;allȯẇănce;@ l aU @ n s;əl?əns
allude;2;allūʹde;@ l u d;əlud
allum;2;ăʹllŭm;{ l @ m;æləm
allure;2;allūre;@ l U r\;əlʊɹ
allusion;4;allūʹſion;@ l u Z @ n;əluʒən
almanac;3;ăʹlmănăc;O: l m @ n { k;Oːlmənæk
almond;2;ăʹlmŏnd;A m @ n d;ɑmənd
alms;1;alms;A l m z;ɑlmz
aloft;2;alŏʹft;@ l O: f t;əlOːft
aloof;2;alooʹf;@ l u f;əluf
alphabet;3;ăʹlphăbĕt;{ l f @ b E t;ælfəbɛt
alphabetical;5;alphăbĕʹtĭcal;{ l f @ b E 4 i k @ l;ælfəbɛɾikəl
altar;2;aʹlt_a_r;O: l t 3:r;Oːltɜ:r
alter;2;aʹlt_e_r;O: l t 3:r;Oːltɜ:r
alteration;5;alte˘rāʹtion;O: l t 3:r eI S @ n;Oːltɜ:r?ʃən
altercation;5;alte˘rcāʹtion;A l t 3:r k eI S @ n;ɑltɜ:rk?ʃən
alternate;3;alte˘ʹrnāte;O: l t 3:r n @ t;Oːltɜ:rnət
alternation;5;alte˘rnāʹtion;O: l t 3:r n eI S @ n;Oːltɜ:rn?ʃən
alternative;3;alteʹrnative;O: l t 3:r n @ 4 i v;Oːltɜ:rnəɾiv
alternatively;5;altĕʹrnătĭvely;O: l t 3:r n @ 4 i v l i:;Oːltɜ:rnəɾivliː
altitude;3;aʹltĭtude;{ l t @ t u d;æltətud
altus;2;aʹltŭs;{ l t @ s;æltəs
alum;2;ăʹlum;{ l @ m;æləm
amalgamate;4;amăʹlgămāte;@ m { l g @ m eI t;əmælgəm?t
amalgamation;6;amălgămaʹtion;@ m { l g @ m eI S @ n;əmælgəm?ʃən
amass;2;amăʹſs;@ m { s;əmæs
amaze;2;amāʹze;@ m eI z;əm?z
amazons;3;aʹmăzons;{ m @ z A n z;æməzɑnz
ambassador;4;ămbăʹſſădor;{ m b { s @ 4 3:r;æmbæsəɾɜ:r
ambassadress;4;ambăʹſſadreſs;{ m b { s @ d r\ @ s;æmbæsədɹəs
amber;2;ăʹmb_e_r;{ m b 3:r;æmbɜ:r
ambidextrous;4;ămbĭdĕʹxtr_o_us;{ m b @ d E k s t r\ @ s;æmbədɛkstɹəs
ambient;3;ăʹmbĭĕnt;{ m b i: @ n t;æmbiːənt
ambiguity;5;ambĭgūʹĭty;{ m b i g j u @ 4 i:;æmbigjuəɾiː
ambiguous;4;ambĭʹgu_o_us;{ m b I g j u @ s;æmbɪgjuəs
ambition;4;ămbĭʹtion;{ m b I S @ n;æmbɪʃən
ambitious;4;ămbĭʹti_o_us;{ m b I S @ s;æmbɪʃəs
amble;2;ăʹmble;{ m b @ l;æmbəl
ambrosia;4;ămbrōʹsĭā;{ m b r\ @U Z @;æmbɹoʊʒə
ambrosial;4;ambrŏʹsĭal;{ m b r\ @U Z @ l;æmbɹoʊʒəl
amen;2;āʹme˘n;eI m E n;?mɛn
amenable;4;amēʹnable;@ m E n @ b @ l;əmɛnəbəl
amend;2;ame˘ʹnd;@ m E n d;əmɛnd
amendment;3;ame˘ʹndment;@ m E n d m @ n t;əmɛndmənt
amends;2;ame˘ʹnds;@ m E n d z;əmɛndz
amenity;4;amēʹnĭty;@ m E n @ 4 i:;əmɛnəɾiː
america;4;ămĕʹrĭcā;@ m E r\ @ k @;əmɛɹəkə
amethyst;3;ăʹmĕthyſt;{ m i T i s t;æmiθist
amiable;4;ăʹmĭable;eI m i: @ b @ l;?miːəbəl
amicable;4;ăʹmĭcable;{ m i k @ b @ l;æmikəbəl
amity;3;āʹmĭty;{ m i 4 i:;æmiɾiː
ammon;2;ăʹmmon;{ m @ n;æmən
ammunition;5;ămmŭnĭʹtion;{ m j @ n I S @ n;æmjənɪʃən
amnesty;3;ăʹmnĕſty;{ m n @ s t i:;æmnəstiː
amoroso;4;ămŏrōʹſo;A m O: r\ @U s @U;ɑmOːɹoʊsoʊ
amorous;3;ăʹmŏr_o_us;{ m 3:r @ s;æmɜ:rəs
amphibious;4;ămphĭʹbĭ_o_us;{ m f I b i: @ s;æmfɪbiːəs
amphitheatre;5;amphĭtheʹatre;{ m p @ T i: @ 4 3:r;æmpəθiːəɾɜ:r
ample;2;ăʹmple;{ m p @ l;æmpəl
amplification;6;amplĭfĭcāʹtion;{ m p l @ f @ k eI S @ n;æmpləfək?ʃən
amplify;3;ăʹmplĭfy;{ m p l @ f aI;æmpləf?
amplitude;3;ăʹmplĭtūde;{ m p l @ t u d;æmplətud
amputation;5;ampūtāʹtion;{ m p j @ t eI S @ n;æmpjət?ʃən
amulet;3;ăʹmūlet;{ m j @ l @ t;æmjələt
amuse;2;amūʹſe;@ m j u z;əmjuz
amusement;3;amūʹſement;@ m j u z m @ n t;əmjuzmənt
ana;2;ăʹnā;A n @;ɑnə
anachronism;4;anăʹc_h_rŏniſm;@ n { k r\ @ n I z @ m;ənækɹənɪzəm
anagram;3;ăʹnăgrăm;{ n @ g r\ { m;ænəgɹæm
analogy;4;ănăʹlŏgy;@ n { l @ dZ i:;ənælə?iː
anarchy;3;ăʹnărchy;{ n 3:r k i:;ænɜ:rkiː
anathema;4;ănăʹthĕmā;@ n { T @ m @;ənæθəmə
anatomical;5;ănătŏʹmĭcal;{ n @ t A m @ k @ l;ænətɑməkəl
anatomist;4;ănăʹtŏmiſt;@ n { 4 @ m @ s t;ənæɾəməst
anatomy;4;ănăʹtŏmy;@ n { 4 @ m i:;ənæɾəmiː
ancestors;3;ăʹncĕſtors;{ n s E s t 3:r z;ænsɛstɜ:rz
anchor;2;ăʹnc_h_or;{ N k 3:r;æŋkɜ:r
anchorage;3;ăʹnc_h_ŏrage;{ N k 3:r @ dZ;æŋkɜ:rə?
anchovy;3;ăʹnchŏvy;{ n tS @U v i:;æn?oʊviː
ancient;3;ăʹncĭent;eI n tS @ n t;?n?ənt
anciently;4;ăʹncĭently;eI n tS @ n t l i:;?n?əntliː
andante;2;ăndăʹnte;A n d A n t eI;ɑndɑnt?
anecdotes;3;ane˘ʹcdŏtes;{ n @ k d @U t s;ænəkdoʊts
angel;2;ăʹngel;eI n dZ @ l;?n?əl
angelica;4;ăngĕʹlĭcā;{ n dZ E l i k @;æn?ɛlikə
anger;2;ăʹnger;{ N g 3:r;æŋgɜ:r
angi;2;ăʹngī;{ n dZ i:;æn?iː
angina;3;angīʹnā;{ n dZ aI n @;æn??nə
angle;2;ăʹngle;{ N g @ l;æŋgəl
anguish;2;ăʹnguĭſh;{ N g w i S;æŋgwiʃ
angular;3;ăʹngŭlar;{ N g j @ l 3:r;æŋgjəlɜ:r
animal;3;ăʹnĭmal;{ n @ m @ l;ænəməl
animate;3;ăʹnĭmāte;{ n @ m @ t;ænəmət
animated;4;ăʹnĭmāted;{ n @ m eI 4 @ d;ænəm?ɾəd
animosity;5;ănĭmŏʹſity;{ n @ m A s @ 4 i:;ænəmɑsəɾiː
annals;2;ăʹnnăls;{ n @ l z;ænəlz
annealing;3;ănnealʹing;@ n i: l i N;əniːliŋ
annex;2;ănnĕʹx;{ n E k s;ænɛks
annihilate;4;ănnīʹhĭlāte;@ n aI @ l eI t;ən?əl?t
annihilation;6;annihĭlāʹtion;@ n aI @ l eI S @ n;ən?əl?ʃən
anniversary;5;ănnĭvĕʹrſăry;{ n @ v 3:r s 3:r i:;ænəvɜ:rsɜ:riː
annotation;5;annŏtāʹtion;{ n @ t eI S @ n;ænət?ʃən
annoy;2;ănnоʹу;@ n OI;ən?
annoyance;3;ănnoʹyănce;@ n OI @ n s;ən?əns
annual;3;ăʹnnūal;{ n j u @ l;ænjuəl
annuity;4;annūʹĭty;@ n u @ 4 i:;ənuəɾiː
annul;2;ănnuʹl;{ n @ l;ænəl
annular;3;ăʹnnūlar;{ n j @ l 3:r;ænjəlɜ:r
anoint;2;ănoiʹnt;@ n OI n t;ən?nt
anomalous;4;anōʹmălous;@ n A m @ l @ s;ənɑmələs
anomaly;4;ănōʹmăly;@ n A m @ l i:;ənɑməliː
answer;2;ăʹnſ_w_ĕr;{ n s 3:r;ænsɜ:r
ant;1;ant;{ n t;ænt
antagonist;4;ăntăʹgŏniſt;{ n t { g @ n @ s t;æntægənəst
antarctic;3;ăntăʹrctic;{ n t A r\ k t i k;æntɑɹktik
antecedent;4;ăntĕcēʹdent;{ n t E s @ d @ n t;æntɛsədənt
antemeridian;6;ante˘me˘rĭʹdĭan;{ n t @ m E r\ I 4 i: @ n;æntəmɛɹɪɾiːən
anterior;4;ăntĕʹrior;{ n t I r\ i: 3:r;æntɪɹiːɜ:r
anthem;2;ăʹnthem;{ n T @ m;ænθəm
anticipate;5;antĭʹcĭpāte;{ n t I s @ p eI t;æntɪsəp?t
antic;2;ăʹntic;{ n t i k;æntik
antidote;3;ăʹntĭdote;{ n t i d @U t;æntidoʊt
antipathy;4;antĭʹpăthy;{ n t I p @ T i:;æntɪpəθiː
antiquate;3;ănʹtĭquāte;{ n t @ k w eI t;æntəkw?t
antique;2;ăʹntĭq_ue_;{ n t i: k;æntiːk
antiquity;4;antĭʹquĭty;{ n t I k w @ 4 i:;æntɪkwəɾiː
antithesis;4;antĭʹthe˘ſis;{ n t I T @ s @ s;æntɪθəsəs
antlers;2;ăʹntlers;{ n t l 3:r z;æntlɜ:rz
anxiety;4;ănxīʹĕty;{ N z aI @ 4 i:;æŋz?əɾiː
anxious;3;ăʹnxĭ_o_us;{ N k S @ s;æŋkʃəs
apace;2;ăʹpāce;@ p eI s;əp?s
apart;2;aparʹt;@ p A r\ t;əpɑɹt
apartment;3;apăʹrtment;@ p A r\ t m @ n t;əpɑɹtmənt
apathy;3;ăʹpăthy;{ p @ T i:;æpəθiː
ape;1;āpe;eI p;?p
aperture;3;ăʹpĕrtūre;{ p 3:r tS 3:r;æpɜ:r?ɜ:r
apex;2;ăʹpex;eI p E k s;?pɛks
aphorism;3;ăʹphŏriſm;{ f 3:r I z @ m;æfɜ:rɪzəm
apocalypse;4;apŏʹcalypſe;@ p A k @ l I p s;əpɑkəlɪps
apollo;3;apŏʹllo;@ p A l @U;əpɑloʊ
apologize;4;apŏʹlogīze;@ p A l @ dZ aI z;əpɑlə??z
apology;4;apŏʹlŏgy;@ p A l @ dZ i:;əpɑlə?iː
apoplexy;4;ăʹpŏplĕxy;{ p @ p l E k s i:;æpəplɛksiː
apostle;3;apŏʹſtle;@ p A s @ l;əpɑsəl
apostrophe;4;apŏʹſtrŏphè;@ p A s t r\ @ f i:;əpɑstɹəfiː
apothecary;5;apŏʹthĕcary;@ p A T @ k E r\ i:;əpɑθəkɛɹiː
